Start training epoch:0 @Thu Jan  2 23:35:35 2020
Epoch: [1][90/794], lr: 0.00200	Time 3.256 (3.281)	Data 2.926 (1.475)	Loss 1.6568 (1.5692)	Prec@1 66.667 (59.524)	Prec@5 91.667 (84.341)
Epoch: [1][100/794], lr: 0.00200	Time 3.243 (3.277)	Data 2.906 (1.473)	Loss 1.8355 (1.5669)	Prec@1 66.667 (59.901)	Prec@5 83.333 (84.818)
Epoch: [1][110/794], lr: 0.00200	Time 3.239 (3.274)	Data 2.903 (1.471)	Loss 0.9647 (1.5617)	Prec@1 75.000 (60.060)	Prec@5 100.000 (85.135)
Epoch: [1][120/794], lr: 0.00200	Time 3.231 (3.271)	Data 2.897 (1.469)	Loss 0.7971 (1.5565)	Prec@1 83.333 (60.055)	Prec@5 100.000 (85.055)
Epoch: [1][130/794], lr: 0.00200	Time 3.264 (3.270)	Data 2.934 (1.468)	Loss 2.3577 (1.5568)	Prec@1 16.667 (59.924)	Prec@5 66.667 (85.051)
Epoch: [1][140/794], lr: 0.00200	Time 3.238 (3.268)	Data 2.901 (1.467)	Loss 0.6162 (1.5483)	Prec@1 83.333 (60.225)	Prec@5 100.000 (85.225)
Epoch: [1][150/794], lr: 0.00200	Time 3.226 (3.266)	Data 2.896 (1.465)	Loss 1.0416 (1.5330)	Prec@1 66.667 (60.320)	Prec@5 100.000 (85.651)
Epoch: [1][160/794], lr: 0.00200	Time 3.228 (3.263)	Data 2.894 (1.464)	Loss 0.6158 (1.5131)	Prec@1 83.333 (60.818)	Prec@5 100.000 (86.025)
Epoch: [1][170/794], lr: 0.00200	Time 3.224 (3.261)	Data 2.890 (1.463)	Loss 1.4682 (1.5005)	Prec@1 58.333 (61.160)	Prec@5 91.667 (86.355)
Epoch: [1][180/794], lr: 0.00200	Time 3.232 (3.260)	Data 2.903 (1.462)	Loss 1.3927 (1.4894)	Prec@1 41.667 (61.326)	Prec@5 83.333 (86.280)
Epoch: [1][190/794], lr: 0.00200	Time 3.274 (3.260)	Data 2.934 (1.462)	Loss 1.1892 (1.4882)	Prec@1 66.667 (61.257)	Prec@5 83.333 (86.213)
Epoch: [1][200/794], lr: 0.00200	Time 3.257 (3.260)	Data 2.926 (1.462)	Loss 1.6031 (1.4877)	Prec@1 50.000 (61.235)	Prec@5 83.333 (86.318)
Epoch: [1][210/794], lr: 0.00200	Time 3.241 (3.259)	Data 2.910 (1.462)	Loss 1.3729 (1.4790)	Prec@1 66.667 (61.493)	Prec@5 83.333 (86.414)
Epoch: [1][220/794], lr: 0.00200	Time 3.228 (3.258)	Data 2.892 (1.461)	Loss 1.1666 (1.4714)	Prec@1 58.333 (61.652)	Prec@5 100.000 (86.652)
Epoch: [1][230/794], lr: 0.00200	Time 3.267 (3.258)	Data 2.931 (1.461)	Loss 1.5786 (1.4686)	Prec@1 75.000 (61.905)	Prec@5 83.333 (86.724)
Epoch: [1][240/794], lr: 0.00200	Time 3.246 (3.258)	Data 2.914 (1.461)	Loss 2.0183 (1.4597)	Prec@1 41.667 (62.102)	Prec@5 75.000 (86.757)
Epoch: [1][250/794], lr: 0.00200	Time 3.213 (3.256)	Data 2.884 (1.460)	Loss 1.8014 (1.4624)	Prec@1 50.000 (61.985)	Prec@5 91.667 (86.687)
Epoch: [1][260/794], lr: 0.00200	Time 3.251 (3.256)	Data 2.913 (1.460)	Loss 1.9850 (1.4676)	Prec@1 58.333 (61.845)	Prec@5 75.000 (86.526)
Epoch: [1][270/794], lr: 0.00200	Time 3.254 (3.256)	Data 2.920 (1.460)	Loss 0.9231 (1.4588)	Prec@1 66.667 (61.900)	Prec@5 91.667 (86.624)
Epoch: [1][280/794], lr: 0.00200	Time 3.222 (3.255)	Data 2.892 (1.459)	Loss 1.2659 (1.4554)	Prec@1 58.333 (62.100)	Prec@5 100.000 (86.507)
Epoch: [1][290/794], lr: 0.00200	Time 3.229 (3.254)	Data 2.898 (1.459)	Loss 1.8081 (1.4569)	Prec@1 33.333 (61.970)	Prec@5 100.000 (86.598)
Epoch: [1][300/794], lr: 0.00200	Time 3.228 (3.253)	Data 2.895 (1.459)	Loss 1.3993 (1.4560)	Prec@1 50.000 (61.822)	Prec@5 83.333 (86.711)
Epoch: [1][310/794], lr: 0.00200	Time 3.223 (3.252)	Data 2.892 (1.458)	Loss 2.2076 (1.4529)	Prec@1 41.667 (61.977)	Prec@5 66.667 (86.736)
Epoch: [1][320/794], lr: 0.00200	Time 3.244 (3.252)	Data 2.910 (1.458)	Loss 1.2648 (1.4461)	Prec@1 66.667 (62.175)	Prec@5 83.333 (86.786)
Epoch: [1][330/794], lr: 0.00200	Time 3.231 (3.251)	Data 2.898 (1.458)	Loss 1.5503 (1.4392)	Prec@1 75.000 (62.387)	Prec@5 75.000 (86.858)
Epoch: [1][340/794], lr: 0.00200	Time 3.239 (3.251)	Data 2.908 (1.458)	Loss 0.9451 (1.4358)	Prec@1 75.000 (62.488)	Prec@5 91.667 (86.804)
Epoch: [1][350/794], lr: 0.00200	Time 3.247 (3.251)	Data 2.915 (1.457)	Loss 1.1804 (1.4321)	Prec@1 66.667 (62.559)	Prec@5 91.667 (86.942)
Epoch: [1][360/794], lr: 0.00200	Time 3.236 (3.250)	Data 2.907 (1.457)	Loss 1.0087 (1.4266)	Prec@1 66.667 (62.765)	Prec@5 100.000 (87.004)
Epoch: [1][370/794], lr: 0.00200	Time 3.224 (3.250)	Data 2.893 (1.457)	Loss 1.4248 (1.4233)	Prec@1 66.667 (62.826)	Prec@5 91.667 (86.995)
Epoch: [1][380/794], lr: 0.00200	Time 3.228 (3.249)	Data 2.895 (1.457)	Loss 1.0710 (1.4159)	Prec@1 75.000 (62.970)	Prec@5 91.667 (87.052)
Epoch: [1][390/794], lr: 0.00200	Time 3.220 (3.248)	Data 2.891 (1.456)	Loss 1.3081 (1.4138)	Prec@1 58.333 (62.916)	Prec@5 91.667 (87.063)
Epoch: [1][400/794], lr: 0.00200	Time 3.242 (3.248)	Data 2.908 (1.456)	Loss 2.1447 (1.4103)	Prec@1 41.667 (62.905)	Prec@5 83.333 (87.199)
Epoch: [1][410/794], lr: 0.00200	Time 3.219 (3.247)	Data 2.887 (1.456)	Loss 1.0229 (1.4034)	Prec@1 66.667 (63.017)	Prec@5 91.667 (87.328)
Epoch: [1][420/794], lr: 0.00200	Time 3.229 (3.247)	Data 2.895 (1.456)	Loss 1.1782 (1.4008)	Prec@1 75.000 (63.143)	Prec@5 91.667 (87.371)
Epoch: [1][430/794], lr: 0.00200	Time 3.223 (3.247)	Data 2.891 (1.455)	Loss 1.2386 (1.3934)	Prec@1 66.667 (63.341)	Prec@5 91.667 (87.413)
Epoch: [1][440/794], lr: 0.00200	Time 3.218 (3.246)	Data 2.888 (1.455)	Loss 0.5910 (1.3877)	Prec@1 83.333 (63.473)	Prec@5 100.000 (87.528)
Epoch: [1][450/794], lr: 0.00200	Time 3.240 (3.246)	Data 2.907 (1.455)	Loss 1.2951 (1.3903)	Prec@1 66.667 (63.507)	Prec@5 83.333 (87.528)
Epoch: [1][460/794], lr: 0.00200	Time 3.277 (3.246)	Data 2.935 (1.455)	Loss 0.7914 (1.3859)	Prec@1 75.000 (63.521)	Prec@5 100.000 (87.636)
Epoch: [1][470/794], lr: 0.00200	Time 3.242 (3.246)	Data 2.907 (1.455)	Loss 1.4710 (1.3808)	Prec@1 58.333 (63.588)	Prec@5 91.667 (87.774)
Epoch: [1][480/794], lr: 0.00200	Time 3.252 (3.246)	Data 2.918 (1.455)	Loss 1.1530 (1.3732)	Prec@1 75.000 (63.773)	Prec@5 91.667 (87.890)
Epoch: [1][490/794], lr: 0.00200	Time 3.233 (3.246)	Data 2.902 (1.455)	Loss 2.1956 (1.3697)	Prec@1 33.333 (63.730)	Prec@5 83.333 (88.001)
